Date,Signal,FX_name,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return
2018-06-06,0.003571382327590492,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-07,0.0035997237458667143,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-08,0.003601212595323404,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-12,0.0036258676414724707,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-13,0.0036329074944710204,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-14,0.003639719111751173,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-15,0.003637318207207592,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-18,0.00364014371581929,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-19,0.0036539301952253534,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-20,0.003663101934923755,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-21,0.0036678407157822407,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-22,0.0036887635441795377,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-25,0.0036651550978823305,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-26,0.0036516892142411024,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-27,0.0036687419057443204,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-28,0.003657516250317174,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
