Date,Signal,FX_name,Period,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return,Drawdown
2011-08-23,-1.2954842632639796e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-24,-1.3788248551582782e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-25,-2.2570709392377708e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-26,-2.7933902867371962e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-30,-6.7577434537113845e-06,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-31,-4.404501209753775e-06,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-01,-1.0353194157763923e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-02,-2.32461882248014e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-05,-2.520670099781519e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-06,-1.4016200057920258e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-07,-7.04494934722355e-06,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-08,-2.4456156493934955e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-09,-4.329614558995498e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-12,-6.41120520356031e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-13,-4.737401204879532e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-14,-0.00011816249192353467,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-15,-5.013592222025132e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-16,-5.474601269017665e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-19,-6.156964944958876e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-20,-5.298775283901769e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-21,-6.95910789496601e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-22,-8.159145046959804e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-23,-8.805504117348484e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-26,-7.830895634930446e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-09-27,-9.874963159617334e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
